Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
MRJ Watt (SCOT),2015-2019,35,11,6,53,14*,10.60,40,132.50,0,0,1,6,1,
Ainool Hafizs (MAL),2019-2021,4,4,0,52,21,13.00,52,100.00,0,0,0,4,1,
J Albin (BUL),2021-2021,5,3,2,52,18*,52.00,57,91.22,0,0,0,6,1,
TS Bharaj (DEN),2019-2019,9,8,0,52,19,6.50,77,67.53,0,0,1,2,0,
G Caisley (),2019-2019,4,4,0,52,38,13.00,59,88.13,0,0,1,3,2,
SJ Cotter (Samoa),2019-2019,4,4,0,52,25,13.00,62,83.87,0,0,0,4,1,
IDA Damarell (GUE),2020-2020,1,1,0,52,52,52.00,31,167.74,0,1,0,6,3,
B Kumar (INDIA),2012-2021,51,12,7,52,16,10.40,72,72.22,0,0,1,0,0,
RP Magar (NEPAL),2014-2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3,
Ovais Yousof (NGA),2019-2019,3,3,0,52,33,17.33,70,74.28,0,0,0,5,0,
Waseem Abbas (MLT),2019-2021,10,7,3,52,20*,13.00,29,179.31,0,0,0,0,6,
Anasim Khan (BHR),2019-2020,8,6,1,51,22,10.20,52,98.07,0,0,0,2,1,
IS Billcliff (CAN),2010-2010,2,2,0,51,37,25.50,39,130.76,0,0,0,3,2,
TGJ Gruijters (NL),2012-2013,8,5,3,51,21*,25.50,47,108.51,0,0,0,3,1,
Junaid Aziz (BHR),2020-2020,4,3,1,51,24*,25.50,43,118.60,0,0,0,6,1,
B Mavuta (ZIM),2018-2021,5,5,3,51,28,25.50,32,159.37,0,0,1,3,3,
V Mbazo (Botsw),2019-2019,4,3,1,51,27*,25.50,67,76.11,0,0,0,3,0,
PWA Mulder (SA),2021-2021,4,3,1,51,36,25.50,44,115.90,0,0,0,3,2,
Raqibul Hasan (BDESH),2008-2010,5,5,0,51,18,10.20,62,82.25,0,0,0,3,1,
J Reb (SRB),2019-2021,6,6,0,51,19,8.50,60,85.00,0,0,0,3,2,
VP Thamotharam (MLT),2020-2021,7,7,1,51,24*,8.50,50,102.00,0,0,1,7,1,
HA Varaiya (KENYA),2007-2013,25,12,11,51,18*,51.00,81,62.96,0,0,0,1,0,
Z Arinaitwe (UGA),2019-2020,6,6,0,50,15,8.33,60,83.33,0,0,0,8,1,
Hamid Hassan (AFG),2010-2016,22,9,6,50,22,16.66,46,108.69,0,0,0,3,2,
Md Nurul Huda (Fin),2019-2019,5,4,2,50,30*,25.00,32,156.25,0,0,0,4,2,
Mohammad Yousuf (PAK),2006-2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1,
Sami Ullah (ROM),2020-2021,5,3,1,50,33,25.00,24,208.33,0,0,0,3,4,
Ameel Mauroof (Mald),2019-2020,13,10,5,49,15*,9.80,68,72.05,0,0,1,3,0,
U Bhatti (CAN),2008-2010,7,7,3,49,12,12.25,48,102.08,0,0,0,3,1,
CU Jayasinghe (SL),2009-2010,5,3,2,49,38,49.00,49,100.00,0,0,0,3,1,
Junaid Siddiqui (CAN),2012-2019,13,7,3,49,21,12.25,41,119.51,0,0,1,2,2,
HG Kuhn (SA),2009-2017,7,6,2,49,29,12.25,42,116.66,0,0,0,3,2,
Nanda Kumar (CRC),2019-2019,3,3,0,49,39,16.33,58,84.48,0,0,1,3,2,
SD Outerbridge (BMUDA),2008-2008,3,3,1,49,37*,24.50,51,96.07,0,0,0,2,1,
DA Rankin (IRE),2015-2016,2,2,0,49,34,24.50,54,90.74,0,0,0,3,2,
DC Smith (PHI),2019-2019,4,4,1,49,22,16.33,53,92.45,0,0,0,5,0,
K Weeraratne (SL),2008-2009,5,5,2,49,20*,16.33,45,108.88,0,0,0,4,1,
PJ Cummins (AUS),2011-2020,30,13,6,48,13*,6.85,42,114.28,0,0,2,3,2,
GC Galanis (GRC),2019-2021,6,4,1,48,19*,16.00,24,200.00,0,0,1,4,4,
D Klein (GER),2020-2020,2,2,2,48,31*,-,22,218.18,0,0,0,4,2,
Muhammad Nadeem (Saudi),2019-2019,5,3,0,48,43,16.00,49,97.95,0,0,0,7,1,
MIA Patel (MWI),2019-2019,3,2,1,48,40*,48.00,44,109.09,0,0,0,6,1,
Qalandar Khan (QAT),2019-2019,4,3,0,48,25,16.00,43,111.62,0,0,0,2,3,
YSD Seneveratne (Caym),2019-2019,6,6,0,48,19,8.00,79,60.75,0,0,1,5,1,
Sheraz Sheikh (Belg),2021-2021,7,5,1,48,19*,12.00,54,88.88,0,0,0,5,1,
J Singye (BHU),2019-2019,2,2,0,48,40,24.00,64,75.00,0,0,0,2,0,
C Zhuwao (ZIM),2008-2018,7,7,0,48,24,6.85,66,72.72,0,0,4,7,1,
M Aboagye (Ghana),2019-2019,3,3,1,47,24,23.50,53,88.67,0,0,0,3,0,
VD Adewoye (NGA),2019-2019,7,6,2,47,23*,11.75,42,111.90,0,0,2,4,2,
Delawar Khan (DEN),2019-2019,9,8,1,47,17,6.71,40,117.50,0,0,2,0,4,
H Ivanov (BUL),2019-2021,13,8,1,47,15,6.71,51,92.15,0,0,2,3,1,
JB Little (IRE),2016-2021,19,10,4,47,15*,7.83,57,82.45,0,0,2,4,1,
Mahedi Hasan (BDESH),2018-2021,9,6,1,47,15,9.40,51,92.15,0,0,2,3,2,
Shiraz Khan (KUW),2019-2020,11,8,2,47,16*,7.83,48,97.91,0,0,1,3,2,
Washington Sundar (INDIA),2017-2021,31,11,4,47,14*,6.71,32,146.87,0,0,3,4,3,
D Weston (GER),2019-2019,6,6,0,47,18,7.83,54,87.03,0,0,2,5,1,
SA Ahmad (DEN),2019-2019,5,3,1,46,25,23.00,54,85.18,0,0,0,2,0,
KM Dabengwa (ZIM),2006-2010,8,7,3,46,16*,11.50,40,115.00,0,0,0,4,2,
K Gupta (Chile),2019-2019,4,4,1,46,19*,15.33,64,71.87,0,0,1,1,0,
JW Hastings (AUS),2010-2016,9,6,2,46,15,11.50,37,124.32,0,0,0,3,1,
MM Iqbal (SCOT),2012-2013,6,3,0,46,31,15.33,45,102.22,0,0,0,4,1,
AS Mehmi (GRC),2019-2021,7,5,1,46,21*,11.50,55,83.63,0,0,1,3,1,
RJ Trott (BMUDA),2008-2019,15,10,4,46,19,7.66,84,54.76,0,0,2,3,0,
JJ van der Wath (SA),2006-2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1,
Amar Sharma (MLT),2020-2021,8,5,1,45,20,11.25,64,70.31,0,0,0,1,1,
S Ateak (Ghana),2019-2019,3,3,0,45,26,15.00,48,93.75,0,0,0,6,1,
R Bakum (Ghana),2019-2019,4,4,0,45,18,11.25,45,100.00,0,0,1,4,2,
L Gregory (ENG),2019-2021,9,7,1,45,15,7.50,41,109.75,0,0,1,2,2,
Haseeb Amjad (HKG),2014-2016,18,10,6,45,12*,11.25,45,100.00,0,0,0,3,1,
MG Hunter (GIBR),2019-2019,4,3,0,45,27,15.00,61,73.77,0,0,0,2,1,
NJ Maddinson (AUS),2013-2018,6,4,0,45,34,11.25,35,128.57,0,0,0,6,1,
T Munyonga (ZIM),2019-2019,5,3,2,45,44,45.00,34,132.35,0,0,0,3,1,
Nazril Rahman (MAL),2019-2020,11,6,2,45,24*,11.25,49,91.83,0,0,1,4,0,
VE Tembo (Moz),2019-2019,6,5,2,45,20*,15.00,52,86.53,0,0,0,2,0,
Yasar Haroon (),2019-2019,4,4,0,45,29,11.25,62,72.58,0,0,0,4,1,
Zohaib Sarwar (PORT),2019-2019,4,4,1,45,33*,15.00,46,97.82,0,0,2,1,4,
KIC Asalanka (SL),2021-2021,1,1,0,44,44,44.00,26,169.23,0,0,0,3,3,
AJ Ayannaike (NGA),2019-2019,3,3,0,44,33,14.66,43,102.32,0,0,1,4,2,
AA Banner (Blz),2019-2019,3,2,0,44,28,22.00,29,151.72,0,0,0,4,3,
JM Davison (CAN),2008-2010,5,5,0,44,19,8.80,40,110.00,0,0,2,2,3,
L Emilio (Moz),2019-2019,5,4,0,44,23,11.00,35,125.71,0,0,0,4,1,
GF Gomes (Moz),2019-2019,7,6,1,44,28,8.80,46,95.65,0,0,1,6,1,
Ismat Ullah (),2019-2019,4,4,0,44,42,11.00,47,93.61,0,0,1,4,1,
Saad Nasim (PAK),2014-2014,3,2,0,44,25,22.00,53,83.01,0,0,0,0,1,
PA van Meekeren (NL),2013-2021,45,11,2,44,18,4.88,44,100.00,0,0,3,1,3,
Abdul Wahid (Saudi),2019-2020,8,5,1,43,17*,10.75,45,95.55,0,0,0,5,1,
S Badree (WI/World),2012-2018,52,16,10,43,14*,7.16,65,66.15,0,0,0,1,1,
S Badrinath (INDIA),2011-2011,1,1,0,43,43,43.00,37,116.21,0,0,0,5,0,
P Baron (Arg),2019-2019,5,3,0,43,27,14.33,38,113.15,0,0,0,0,4,
TS Chisoro (ZIM),2015-2020,14,7,3,43,14*,10.75,47,91.48,0,0,0,2,2,
Kuldeep Yadav (INDIA),2017-2021,23,3,2,43,23*,43.00,48,89.58,0,0,0,2,0,
A McAuley (IOM),2020-2020,1,1,0,43,43,43.00,53,81.13,0,0,0,3,0,
NO Miller (WI),2009-2014,9,5,4,43,15*,43.00,47,91.48,0,0,0,2,0,
Mustafizur Rahman (BDESH),2015-2021,43,15,5,43,15,4.30,55,78.18,0,0,4,3,3,
SE Rutherford (WI),2018-2020,6,4,0,43,26,10.75,36,119.44,0,0,0,1,3,
Saad Bin Zafar (CAN),2019-2019,11,4,1,43,20,14.33,33,130.30,0,0,0,3,2,
M Sohel Patel (PNM),2019-2019,2,2,0,43,40,21.50,39,110.25,0,0,0,2,3,
MA Starc (AUS),2012-2021,39,13,7,43,8*,7.16,49,87.75,0,0,0,1,1,
CA Young (IRE),2015-2021,34,11,6,43,22,8.60,48,89.58,0,0,1,5,1,
Amjad Ali (UAE),2014-2015,5,5,1,42,20,10.50,52,80.76,0,0,0,6,0,
F Baaleri (Ghana),2019-2019,4,4,0,42,17,10.50,60,70.00,0,0,0,6,0,
Ibrahim Hassan (Mald),2019-2020,14,10,3,42,18*,6.00,68,61.76,0,0,3,0,0,
NG Jones (IRE),2010-2012,5,4,2,42,14*,21.00,38,110.52,0,0,1,1,2,
WP Masakadza (ZIM),2015-2021,20,11,6,42,11,8.40,48,87.50,0,0,1,4,0,
Mohamed Mahfooz (Mald),2019-2019,11,5,0,42,16,8.40,53,79.24,0,0,0,3,0,
Muaviath Ganee (Mald),2019-2019,5,4,0,42,19,10.50,44,95.45,0,0,0,3,1,
LE Plunkett (ENG),2006-2019,22,11,4,42,18,6.00,34,123.52,0,0,3,3,1,
AT Rayudu (INDIA),2014-2016,6,5,1,42,20,10.50,50,84.00,0,0,2,5,0,
M Sert (TKY),2019-2019,4,4,1,42,16,14.00,59,71.18,0,0,0,5,0,
DC Stovell (BMUDA),2019-2019,6,6,1,42,18*,8.40,50,84.00,0,0,1,5,0,
JK Vifah (Ghana),2019-2019,3,3,0,42,23,14.00,45,93.33,0,0,0,2,1,
KJ Young (Blz),2019-2019,3,3,2,42,27*,42.00,34,123.52,0,0,0,3,1,
Abdullah Shafique (PAK),2020-2020,3,3,1,41,41*,20.50,37,110.81,0,0,2,4,1,
Abdur Razzak (BDESH),2006-2014,34,20,10,41,9,4.10,74,55.40,0,0,5,1,0,
Ali Mohammadipour (Iran),2020-2020,3,3,1,41,19,20.50,44,93.18,0,0,0,6,0,
S Browne (LUX),2020-2020,4,4,0,41,21,10.25,49,83.67,0,0,1,4,0,
KA Jamieson (NZ),2020-2021,8,4,2,41,30,20.50,27,151.85,0,0,0,7,0,
K Jethi (CAN),2008-2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2,
K Pala (PNG),2015-2015,2,2,1,41,22*,41.00,30,136.66,0,0,0,4,2,
D Sheeli (KUW),2019-2020,5,5,0,41,19,8.20,43,95.34,0,0,0,5,0,
Amir Hamza (AFG),2013-2021,33,9,5,40,21,10.00,38,105.26,0,0,1,3,1,
BCJ Cutting (AUS/World),2013-2017,7,5,1,40,29,10.00,27,148.14,0,0,1,2,3,
BC Fortuin (SA),2019-2021,10,6,2,40,17*,10.00,32,125.00,0,0,1,6,0,
Imran Bulbulia (PNM),2019-2019,3,3,0,40,32,13.33,42,95.23,0,0,1,4,1,
LA Musiani (Arg),2019-2019,5,5,1,40,22,10.00,60,66.66,0,0,1,4,0,
E Packard (GIBR),2019-2019,4,4,0,40,26,10.00,49,81.63,0,0,0,2,1,
S Rakshit (CZK-R),2019-2019,6,5,1,40,21,10.00,44,90.90,0,0,1,5,1,
S Ravikumar (CRC),2019-2019,3,3,1,40,29*,20.00,44,90.90,0,0,1,3,1,
Sahibzada Farhan (PAK),2018-2018,3,3,0,40,39,13.33,46,86.95,0,0,1,2,3,
F Stoman (PORT),2019-2019,4,4,1,40,21*,13.33,61,65.57,0,0,0,1,1,
Talha Khan (GER),2019-2019,1,1,1,40,40*,-,41,97.56,0,0,0,4,0,
Tariq Aziz (PORT),2019-2019,4,4,1,40,23,13.33,47,85.10,0,0,1,1,2,
KDK Vithanage (SL),2014-2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0,
A Zampa (AUS),2016-2021,46,10,6,40,13*,10.00,40,100.00,0,0,1,4,0,
RR David (CAN),2008-2008,4,4,0,39,17,9.75,65,60.00,0,0,0,2,1,
Imran Khan (PORT),2019-2019,4,3,1,39,36,19.50,32,121.87,0,0,0,2,3,
Munir Dar (HKG),2014-2014,2,2,0,39,36,19.50,33,118.18,0,0,0,3,1,
Rafatullah Mohmand (PAK),2015-2015,3,3,0,39,23,13.00,45,86.66,0,0,1,4,0,
P Silas (Botsw),2019-2019,4,3,0,39,20,13.00,44,88.63,0,0,0,1,1,
Taskin Ahmed (BDESH),2014-2021,23,9,4,39,15*,7.80,43,90.69,0,0,1,4,1,
S Tobgay (BHU),2019-2019,2,2,0,39,24,19.50,58,67.24,0,0,0,1,0,
RI Ahmed (NL),2015-2015,2,2,0,38,25,19.00,50,76.00,0,0,0,2,0,
Ameer Saiyed (Botsw),2019-2019,4,3,0,38,22,12.66,47,80.85,0,0,0,4,0,
R Flannigan (SCOT),2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0,
Imran Haider (ROM),2019-2020,3,3,0,38,19,12.66,40,95.00,0,0,0,4,1,
NR Johns-Wickberg (SRB),2021-2021,4,4,0,38,24,9.50,37,102.70,0,0,0,6,0,
D Kansonkho (MWI),2019-2019,7,4,0,38,21,9.50,47,80.85,0,0,2,5,0,
AK Kitchen (NZ),2017-2018,5,4,1,38,16,12.66,32,118.75,0,0,0,3,1,
LC Le Tissier (GUE),2019-2020,10,8,2,38,9,6.33,39,97.43,0,0,0,3,0,
BF Mailata (Samoa),2019-2019,4,4,0,38,17,9.50,48,79.16,0,0,0,2,1,
Mohammed Sameer (BHR),2020-2020,2,2,0,38,28,19.00,29,131.03,0,0,0,6,1,
D Mongia (INDIA),2006-2006,1,1,0,38,38,38.00,45,84.44,0,0,0,4,1,
F Mutizwa (ZIM),2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0,
D Padikkal (INDIA),2021-2021,2,2,0,38,29,19.00,38,100.00,0,0,0,2,1,
H Pragji (Botsw),2019-2019,4,4,1,38,30*,12.66,65,58.46,0,0,0,1,0,
BJ Watling (NZ),2009-2014,5,4,0,38,22,9.50,58,65.51,0,0,0,3,0,
U Aryaman Sunil (SGP),2019-2020,5,4,0,37,16,9.25,24,154.16,0,0,0,2,2,
Basil Hameed (UAE),2020-2020,4,3,0,37,23,12.33,33,112.12,0,0,0,2,1,
SJ Benn (WI),2008-2016,24,7,4,37,13*,12.33,42,88.09,0,0,1,5,1,
VD Chandra (PNM),2019-2019,3,2,0,37,26,18.50,30,123.33,0,0,0,3,3,
Danish Aziz (PAK),2021-2021,2,2,0,37,22,18.50,35,105.71,0,0,0,1,1,
I Danladi (NGA),2019-2019,3,2,0,37,37,18.50,38,97.36,0,0,1,4,1,
CJ Delany (GIBR),2019-2019,4,4,0,37,21,9.25,60,61.66,0,0,1,2,0,
JS Foster (ENG),2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1,
RM Hira (NZ),2012-2013,15,3,1,37,20*,18.50,33,112.12,0,0,0,4,1,
J Hirschi (MLT),2019-2019,4,4,0,37,13,9.25,62,59.67,0,0,0,0,0,
AF Ifill (Caym),2019-2019,6,6,1,37,9,7.40,61,60.65,0,0,0,2,1,
R Kumar (ROM),2019-2019,4,3,1,37,32,18.50,27,137.03,0,0,0,6,0,
S Kushretha (LUX),2020-2020,4,3,0,37,28,12.33,39,94.87,0,0,0,2,0,
D Manani (ROM),2019-2019,2,2,1,37,19*,37.00,32,115.62,0,0,0,4,1,
S Sola (Samoa),2019-2019,4,3,0,37,18,12.33,36,102.77,0,0,0,1,3,
CA Soper (PNG),2015-2019,13,6,4,37,19,18.50,41,90.24,0,0,0,0,3,
BM Wheeler (NZ),2017-2018,6,4,2,37,30,18.50,28,132.14,0,0,0,3,2,
Ahsan Ali (PAK),2020-2020,2,2,0,36,36,18.00,39,92.30,0,0,1,4,0,
RJ Campbell (HKG),2016-2016,3,3,0,36,27,12.00,47,76.59,0,0,1,6,0,
J Dunn (VAN),2019-2019,4,3,0,36,23,12.00,41,87.80,0,0,0,0,1,
V Ganesan (GER),2019-2020,6,5,0,36,15,7.20,47,76.59,0,0,0,0,0,
J Jojo (DEN),2019-2019,7,5,3,36,13,18.00,27,133.33,0,0,0,1,1,
TE Kane (IRE),2015-2019,7,3,1,36,26*,18.00,23,156.52,0,0,0,5,0,
OC McCoy (WI),2019-2021,12,5,2,36,23,12.00,25,144.00,0,0,0,3,3,
Mohammed Qasim (UAE),2016-2017,3,3,1,36,13*,18.00,51,70.58,0,0,0,2,0,
Mohsin Hub (Peru),2019-2019,4,4,1,36,16*,12.00,41,87.80,0,0,1,2,0,
PA Patel (INDIA),2011-2011,2,2,0,36,26,18.00,32,112.50,0,0,0,4,1,
JA Richardson (AUS),2017-2021,14,7,4,36,11,12.00,31,116.12,0,0,1,3,1,
Abdul Shakoor (UAE),2015-2019,6,4,2,35,20*,17.50,40,87.50,0,0,0,3,0,
MP Biddappa (PHI),2019-2019,4,2,1,35,22*,35.00,47,74.46,0,0,0,1,1,
STR Binny (INDIA),2015-2016,3,2,0,35,24,17.50,29,120.68,0,0,0,2,1,
PVD Chameera (SL),2015-2021,28,13,6,35,12,5.00,49,71.42,0,0,2,3,0,
CD de Lange (SCOT),2015-2017,8,3,0,35,22,11.66,22,159.09,0,0,0,2,2,
RD Gaikwad (INDIA),2021-2021,2,2,0,35,21,17.50,28,125.00,0,0,0,3,0,
L Hermida (Mex),2019-2019,5,5,2,35,12,11.66,50,70.00,0,0,0,1,0,
Imran Anwar (BHR),2019-2020,8,5,2,35,16*,11.66,44,79.54,0,0,0,2,0,
VV Morea (PNG),2015-2017,5,5,0,35,19,7.00,44,79.54,0,0,1,4,0,
CB Mpofu (ZIM),2008-2020,32,11,7,35,17*,8.75,43,81.39,0,0,3,3,1,
D Murphy (SCOT),2013-2013,4,4,3,35,20,35.00,35,100.00,0,0,0,1,0,
Nazakat Ali (NOR),2019-2019,2,2,0,35,25,17.50,31,112.90,0,0,0,1,3,
Robert Raina (THAI),2020-2020,4,4,0,35,20,8.75,68,51.47,0,0,0,3,1,
Shuvagata Hom (BDESH),2016-2016,5,4,2,35,16*,17.50,35,100.00,0,0,0,3,1,
DK Anefie (Ghana),2019-2019,4,4,2,34,18*,17.00,38,89.47,0,0,1,2,0,
Arafat Sunny (BDESH),2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1,
Hammad Azam (PAK),2012-2013,5,4,1,34,21,11.33,34,100.00,0,0,0,3,1,
Nadeem Ahmed (HKG),2014-2017,24,9,4,34,10,6.80,55,61.81,0,0,1,2,0,
JD Nel (SCOT),2007-2010,10,5,2,34,13*,11.33,25,136.00,0,0,1,3,1,
OL Pitcher (BMUDA),2008-2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0,
Saqib Zulfiqar (NL),2018-2019,6,4,0,34,18,8.50,43,79.06,0,0,0,1,0,
A Sharafu (UAE),2020-2020,5,4,1,34,12,11.33,33,103.03,0,0,0,0,3,
JTS Sumerauer (JER),2019-2019,8,6,1,34,13,6.80,39,87.17,0,0,0,3,0,
W Viraliliu (VAN),2019-2019,10,7,3,34,13*,8.50,26,130.76,0,0,0,3,2,
PSP Handscomb (AUS),2019-2019,2,2,1,33,20*,33.00,33,100.00,0,0,0,1,0,
GO Jones (ENG),2005-2006,2,2,1,33,19,33.00,25,132.00,0,0,0,5,0,
FJ Klaassen (NL),2018-2019,21,7,1,33,13,5.50,34,97.05,0,0,1,2,0,
MF Maharoof (SL),2006-2016,8,5,1,33,13*,8.25,43,76.74,0,0,1,0,1,
K Nestor (GIBR),2019-2019,4,4,1,33,16,11.00,35,94.28,0,0,0,1,2,
I Pandey (NEPAL),2019-2019,4,4,0,33,22,8.25,50,66.00,0,0,0,5,0,
RJMGM Rupasinghe (SL),2009-2009,2,2,0,33,18,16.50,39,84.61,0,0,0,2,0,
Simandeep Singh (HKG),2019-2019,7,7,2,33,14*,6.60,32,103.12,0,0,0,2,0,
WPUJC Vaas (SL),2006-2007,6,2,1,33,21,33.00,41,80.48,0,0,0,1,0,
AA Westphal (Mex),2019-2019,5,5,0,33,24,6.60,40,82.50,0,0,0,3,0,
Aqib Iqbal (Aut),2019-2021,12,4,2,32,12*,16.00,39,82.05,0,0,0,1,1,
KS Bagabena (Ghana),2019-2019,4,3,2,32,23*,32.00,32,100.00,0,0,1,1,0,
WD Balaji Rao (CAN),2008-2008,4,4,1,32,22*,10.66,30,106.66,0,0,1,1,2,
TS Braat (NL),2019-2021,6,3,1,32,26*,16.00,34,94.11,0,0,0,4,1,
SE Findlay (WI),2008-2008,2,2,0,32,19,16.00,31,103.22,0,0,0,4,0,
TG Gordon (CAN),2012-2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0,
LHB Harrington-Myers (Caym),2019-2019,4,4,1,32,17*,10.66,39,82.05,0,0,1,1,1,
Khizer Ahmed (NOR),2019-2019,5,4,2,32,18,16.00,47,68.08,0,0,0,1,0,
GA Lamb (ZIM),2010-2010,5,4,2,32,14*,16.00,54,59.25,0,0,1,1,0,
GH O'Brien (BMUDA),2008-2019,11,6,2,32,7*,8.00,38,84.21,0,0,1,1,2,
SNJ O'Keefe (AUS),2010-2011,7,5,0,32,22,6.40,26,123.07,0,0,0,4,1,
KRP Silva (USA),2019-2019,2,2,0,32,25,16.00,12,266.66,0,0,0,2,3,
J Theron (SA),2010-2012,9,3,3,32,31*,-,21,152.38,0,0,0,3,1,
JC Tredwell (ENG),2012-2014,17,6,3,32,22,10.66,20,160.00,0,0,1,4,1,
TR Birt (AUS),2010-2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1,
P Chandran (Mex),2019-2019,3,3,0,31,23,10.33,47,65.95,0,0,1,2,1,
R Dravid (INDIA),2011-2011,1,1,0,31,31,31.00,21,147.61,0,0,0,0,3,
Jahurul Islam (BDESH),2010-2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1,
Jasdeep Singh (USA),2019-2019,4,2,0,31,31,15.50,25,124.00,0,0,1,0,3,
Naveed Ahmed (CZK-R),2019-2021,14,4,2,31,21,15.50,37,83.78,0,0,1,2,1,
PA Nixon (ENG),2007-2007,1,1,1,31,31*,-,22,140.90,0,0,0,2,1,
H Osinde (CAN),2008-2013,11,6,2,31,17,7.75,34,91.17,0,0,0,1,2,
VS Padhaal (Fin),2019-2019,5,5,0,31,14,6.20,44,70.45,0,0,0,4,0,
Ali Raza (Belg),2021-2021,3,2,1,31,31*,31.00,25,124.00,0,0,1,2,1,
Saqlain Ali (Belg),2019-2021,6,4,1,31,26*,10.33,52,59.61,0,0,0,3,0,
ACF Stokes (GUE),2019-2020,8,5,0,31,16,6.20,26,119.23,0,0,3,6,0,
Tafseer Ali (NOR),2019-2019,5,4,1,31,19,10.33,53,58.49,0,0,0,1,0,
Zubaidi Zulkifle (MAL),2019-2019,4,4,0,31,22,7.75,29,106.89,0,0,1,2,2,
Aftab Kayani (ROM),2020-2021,4,2,0,30,20,15.00,27,111.11,0,0,0,3,0,
D Cato (Caym),2019-2019,3,3,0,30,20,10.00,59,50.84,0,0,0,2,0,
WW Hinds (WI),2006-2010,5,5,1,30,14,7.50,41,73.17,0,0,1,3,0,
Imran Butt (BHR),2020-2020,4,3,0,30,17,10.00,25,120.00,0,0,0,3,1,
Navid Balouch (Iran),2020-2020,3,3,1,30,19*,15.00,50,60.00,0,0,0,1,0,
Abdullah Akbarjan (Aut),2019-2021,8,2,0,29,29,14.50,17,170.58,0,0,1,3,1,
B Masaba (UGA),2019-2020,2,1,0,29,29,29.00,25,116.00,0,0,0,3,1,
Mian Mehmood (PORT),2019-2019,4,4,0,29,13,7.25,41,70.73,0,0,1,1,1,
SH Obed (VAN),2019-2019,12,7,2,29,9,5.80,41,70.73,0,0,0,1,0,
C Pengkumta (THAI),2019-2020,5,4,2,29,18,14.50,41,70.73,0,0,0,2,0,
S Rossi (Arg),2019-2019,5,4,1,29,13,9.66,27,107.40,0,0,0,2,1,
J Salazar (Peru),2019-2019,2,2,1,29,20*,29.00,36,80.55,0,0,0,0,0,
MJ Swepson (AUS),2018-2021,5,3,3,29,14*,-,21,138.09,0,0,0,1,2,
Ahsan Malik (NL),2012-2017,31,8,5,28,11*,9.33,30,93.33,0,0,1,1,1,
KK Ahuja (Mex),2019-2019,8,7,0,28,8,4.00,50,56.00,0,0,1,1,1,
Amjad Khan (UAE),2015-2016,4,3,0,28,24,9.33,30,93.33,0,0,0,3,1,
TA Boult (NZ),2013-2021,34,10,5,28,8,5.60,38,73.68,0,0,1,2,0,
B Fernando (SL),2015-2021,4,2,1,28,20,28.00,26,107.69,0,0,0,2,1,
Iqbal Hussain (QAT),2019-2020,22,8,3,28,19,5.60,34,82.35,0,0,3,3,0,
EJB Miles (JER),2019-2019,14,4,2,28,16,14.00,31,90.32,0,0,0,1,0,
A Nehra (INDIA),2009-2017,27,5,0,28,22,5.60,39,71.79,0,0,3,1,2,
B Niaz (Belg),2021-2021,7,4,1,28,20*,9.33,87,32.18,0,0,1,0,0,
D Nikolov (BUL),2019-2021,12,7,1,28,13,4.66,61,45.90,0,0,1,2,0,
PJ Ongondo (KENYA),2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2,
CW Perchard (JER),2019-2019,15,5,2,28,12,9.33,35,80.00,0,0,0,0,0,
R Pillai (GER),2019-2019,6,5,1,28,14,7.00,44,63.63,0,0,1,1,0,
Sharafuddin Ashraf (AFG),2015-2021,9,5,1,28,18,7.00,30,93.33,0,0,1,1,1,
Vinod Kumar (ESP),2019-2020,4,4,1,28,17,9.33,34,82.35,0,0,0,3,0,
V Zimonjic (SRB),2021-2021,4,3,0,28,15,9.33,24,116.66,0,0,0,3,1,
Ahmed Wardak (GER),2019-2020,10,4,2,27,20*,13.50,38,71.05,0,0,0,1,0,
TP Allen (USA),2019-2019,5,3,1,27,11*,13.50,17,158.82,0,0,0,0,3,
G Bakiweyem (Ghana),2019-2019,3,2,1,27,15*,27.00,30,90.00,0,0,0,0,0,
NE Bonner (WI),2011-2012,2,2,0,27,24,13.50,38,71.05,0,0,0,2,0,
BJ Davidson (SRB),2021-2021,4,4,0,27,18,6.75,46,58.69,0,0,1,4,0,
RM Dorji (BHU),2019-2019,1,1,0,27,27,27.00,23,117.39,0,0,0,0,4,
H Fennell (Arg),2019-2019,5,5,2,27,25*,9.00,23,117.39,0,0,3,4,1,
S Hongsi (THAI),2019-2019,3,3,3,27,11*,-,16,168.75,0,0,0,3,1,
